geo_type,region,transportation_type,alternative_name,sub_region,country,date,relative_mobility
city,Albany,driving,NA,New York,United States,2020-01-13,100
city,Albany,driving,NA,New York,United States,2020-01-14,102.35
city,Albany,driving,NA,New York,United States,2020-01-15,107.35
city,Albany,driving,NA,New York,United States,2020-01-16,105.54
city,Albany,driving,NA,New York,United States,2020-01-17,128.97
city,Albany,driving,NA,New York,United States,2020-01-18,88.28
city,Albany,driving,NA,New York,United States,2020-01-19,82.76
city,Albany,driving,NA,New York,United States,2020-01-20,102.46
city,Albany,driving,NA,New York,United States,2020-01-21,107.77
city,Albany,driving,NA,New York,United States,2020-01-22,107.04
city,Albany,driving,NA,New York,United States,2020-01-23,114.17
city,Albany,driving,NA,New York,United States,2020-01-24,132.02
city,Albany,driving,NA,New York,United States,2020-01-25,115.15
city,Albany,driving,NA,New York,United States,2020-01-26,83.86
city,Albany,driving,NA,New York,United States,2020-01-27,93.89
city,Albany,driving,NA,New York,United States,2020-01-28,102.31
city,Albany,driving,NA,New York,United States,2020-01-29,102.33
city,Albany,driving,NA,New York,United States,2020-01-30,107.47
city,Albany,driving,NA,New York,United States,2020-01-31,124.97
city,Albany,driving,NA,New York,United States,2020-02-01,113.66
city,Albany,driving,NA,New York,United States,2020-02-02,82.88
city,Albany,driving,NA,New York,United States,2020-02-03,96.99
city,Albany,driving,NA,New York,United States,2020-02-04,105.98
city,Albany,driving,NA,New York,United States,2020-02-05,102.92
city,Albany,driving,NA,New York,United States,2020-02-06,98.07
city,Albany,driving,NA,New York,United States,2020-02-07,111.03
city,Albany,driving,NA,New York,United States,2020-02-08,111.88
city,Albany,driving,NA,New York,United States,2020-02-09,89.98
city,Albany,driving,NA,New York,United States,2020-02-10,97.76
city,Albany,driving,NA,New York,United States,2020-02-11,107.7
city,Albany,driving,NA,New York,United States,2020-02-12,109.64
city,Albany,driving,NA,New York,United States,2020-02-13,114.25
city,Albany,driving,NA,New York,United States,2020-02-14,147.29
city,Albany,driving,NA,New York,United States,2020-02-15,121.26
city,Albany,driving,NA,New York,United States,2020-02-16,96.17
city,Albany,driving,NA,New York,United States,2020-02-17,111.14
city,Albany,driving,NA,New York,United States,2020-02-18,104.76
city,Albany,driving,NA,New York,United States,2020-02-19,112.35
city,Albany,driving,NA,New York,United States,2020-02-20,114.82
city,Albany,driving,NA,New York,United States,2020-02-21,131.24
city,Albany,driving,NA,New York,United States,2020-02-22,118.86
city,Albany,driving,NA,New York,United States,2020-02-23,93.25
